semana,dia,horas_trabalhadas,bugs_corrigidos,qtda_bugs,tarefas_concluidas,quantidade_funcionarios
1,segunda,8,5,5,12,4
1,terça,8,3,3,12,4
1,quarta,8,14,14,14,4
1,quinta,8,4,4,11,4
1,sexta,8,10,10,11,4
1,sábado,0,0,0,0,4
1,domingo,0,0,0,0,4
2,segunda,8,3,3,14,4
2,terça,8,1,1,14,4
2,quarta,8,2,4,11,4
2,quinta,8,3,5,13,4
2,sexta,8,4,7,10,4
2,sábado,0,0,0,0,4
2,domingo,0,0,0,0,4
3,segunda,7,6,7,9,3
3,terça,9,4,6,8,3
3,quarta,9,3,9,9,3
3,quinta,9,6,2,9,3
3,sexta,9,6,11,10,3
3,sábado,5,5,13,5,3
3,domingo,0,3,0,0,3
4,segunda,10,2,15,4,2
4,terça,10,5,17,5,2
4,quarta,10,3,15,4,2
4,quinta,10,2,17,4,2
4,sexta,5,3,13,7,2
4,sábado,6,3,16,6,2
4,domingo,0,0,0,0,2